DocEntry;DocDate;CardCode;CardName;ItemCode;Dscription;Miktar;ShipToCode;Address2
1;2021-07-30 00:00:00.000;M020216;KARNOUG;TA000012311;ECO_HB10 BEYAZ;1;NULL;NULL
2;2021-10-31 00:00:00.000;M010170;PINAR ENTEGRE ET A.S.;TA000011903;MOD 7 SIYAH;1.000;DEPO;PINAR ENTEGRE ET A.S.  0232 877 09 00 TÜRKIYE
3;2021-10-31 00:00:00.000;M010111;GÜMÜŞDOĞA SU ÜRÜNLERİ ÜR.İTH.VE İHR.A.Ş.;TA000010020;11*19 PLAKA_K C BEYAZ;1.250;DEPO;GÜMÜSDOGA SU ÜRÜNLERI ÜRETIM ITHALAT VE IHRACAT A.S.  0252 522 31 61 TÜRKIYE
4;2021-10-31 00:00:00.000;M020216;KARNOUG;TA000012311;ECO_HB10 BEYAZ;440;KARNOUG;9. RUE DE LA POTERİE 93200  93200 SAINT DENIS FRANCE
4;2021-10-31 00:00:00.000;M020216;KARNOUG;TA000012309;ECO_MB3_200 BEYAZ;58;KARNOUG;9. RUE DE LA POTERİE 93200  93200 SAINT DENIS FRANCE
4;2021-10-31 00:00:00.000;M020216;KARNOUG;TA000012315;ECO_HB6 BEYAZ;270;KARNOUG;9. RUE DE LA POTERİE 93200  93200 SAINT DENIS FRANCE
5;2021-10-31 00:00:00.000;M020009;ASSAPLAST LTD.-BULGARISTAN;TA000012315;ECO_HB6 BEYAZ;110;ASSAPLAST;KOKICHE 6302 TRAKIYSKI,  06302 HASKOVO BULGARIA
5;2021-10-31 00:00:00.000;M020009;ASSAPLAST LTD.-BULGARISTAN;TA000012311;ECO_HB10 BEYAZ;110;ASSAPLAST;KOKICHE 6302 TRAKIYSKI,  06302 HASKOVO BULGARIA
6;2021-10-31 00:00:00.000;M010035;A3 AMBALAJ SANAYİ VE DIŞ TİC.LTD.ŞTİ.;TA000012093;MOD 1 BEYAZ (URFA);17;DEPO;GÖRECE CUMHURİYET MAH. SÜLEYMAN DEMİREL BLV. NO:A3/E-F  0232 262 62 61 TÜRKIYE
7;2021-10-31 00:00:00.000;M010145;KÖKSALLAR AMBALAJ PAZ.SAN.TIC.LTD.STI.;TA000012095;MOD 1 Z_250 BEYAZ (URFA);95;GROSPAK AMBALAJ;GROSPAK AMBALAJ SANAYI MAH 60340SK NO 3 IÇ KAPI NO 1  27000 GAZİANTEP TÜRKIYE
